url,googleSearchVolume,totalSearchVolume,session
mizuno/shoes/men/sports/futsal,0,0,1
tupperware/appliances/water-dispensers,210,210,95
lluthier/hobbies/musical-instruments/guitars,140,170,51
tst/skin-care/face/serums,0,0,3
nike/revolution/shoes/sports/running,10,10,4
rians/clothing/t-shirts,0,0,41
lexus/car-accessories/lubricants,0,0,47
skechers/shoes,6600,12640,812
ulysse-nardin/watches/women/luxury,0,0,4
ohsen/watches/digital,10,10,2
mr-diy/car-accessories,90,90,34
sony/audio-hi-fi/home-theater,880,1150,101
bvlgari/jewellery/rings,2900,2900,516
undefeated/clothing/t-shirts,140,140,1
orion/audio-hi-fi,0,0,2
protech/shoes/sports/badminton,70,70,62
adidas/yeezy/shoes/sandals,10,10,52
nomos/watches/luxury,0,0,22
gucci/perfume,2900,4150,524
undercover/clothing/jackets/bombers,0,0,0
philipp-plein/clothing/men/belts,0,0,1
boboiboy/kitchen-dining/storage,0,0,21
kamen-rider/toys,210,230,46
paul-frank/clothing/t-shirts,20,20,32
versace/clothing/women/shorts,0,0,0
philips/medical-supplies/nebulizers-aspirators,0,0,8
yves-saint-laurent/bags/sling,9900,9900,656
vincci/bags/handbags,0,0,17
play-boy/clothing/sweatshirts,0,0,0
michael-kors/watches/women,480,480,142
qq/home-improvement,0,0,3
kdk/appliances/fans/stand,170,170,93
ogawa/appliances/massagers,1000,1000,81
silikomart/kitchen-dining/bakeware/moulds,0,0,9
wonder-woman/bags,10,10,3
queen-sense/kitchen-dining,0,0,1
rolex/cellini/watches/luxury,0,0,81
toms/shoes,1000,1130,334
yealon/clothing/dresses/casual,0,0,0
romwe/clothing/jumpsuits,0,0,2
star-wars/toys,140,200,17
3ce/makeup/accessories/bags,0,0,2
salvatore-ferragamo/clothing/men/sunglasses,10,10,2
sony/gaming/games,20,140,59
acer/computing/laptops/touch-screen,260,290,72
ad-steel/groceries,0,0,0
sebamed/bath-body/shower/gels,0,0,1
joma/clothing,10,20,50
appeton/supplements,0,390,37
versace/shoes/loafers,90,90,10
adidas/nemeziz/shoes/sneakers,10,10,0
skechers/flex,50,50,9
kamiliant/bags/travel/luggage,0,0,74
yves-saint-laurent/shoes/men/boots,0,0,19
alpha/appliances/fans/ceiling,5400,5460,590
adx/housekeeping,0,0,1
511-tactical/clothing/pants,90,90,19
alexander-mcqueen/clothing/women/dresses,0,0,0
stella-mccartney/clothing/men/sunglasses,0,0,1
yamada/appliances/water-dispensers,260,260,63
clarks/tri,10,10,66
ami-paris/clothing/men/shorts,0,0,0
suzuki/grand-vitara,390,390,5
skechers/relaxed-fit,110,120,46
baellerry/bags,0,140,4
tombow/stationery,10,100,6
canon/stationery/calculators,720,930,73
hugo-boss/clothing/jeans,30,30,38
bakka-clothing/clothing,0,0,0
trio/appliances/fans,0,0,3
elianto/makeup/lips/lipsticks,320,350,46
not-soap-radio/bath-body,0,0,40
ugee/phones-tablets/accessories/screen-protectors,0,0,2
brtc/skin-care/face/masks,10,10,4
uoffc/home-improvement/tools,0,0,2
tommy-hilfiger/shoes/women,20,60,25
kyt-helmet/motorcycle-accessories,0,0,62
orex/shoes/safety,170,170,63
starbucks/groceries/drinks/coffee,1900,1900,477
calvin-klein/clothing/men/shirts,30,30,0
vincci/bags/women/backpacks,0,0,0
palace/bags/sling,90,130,38
honda/motorcycle-accessories,10,40,499
calvin-klein/shoes/sneakers,40,40,4
vztec/computing/accessories/mouse/wireless,10,10,3
philips/appliances/noodle-makers,90,90,40
celio/clothing/jackets,10,10,1
wismec/gadgets/vapes/mods,0,0,1
proton/preve,8100,8110,42
prada/clothing/men/belts,110,110,29
skmei/watches,2400,2500,252
cleo/bath-body/shower,0,480,1
wonder-woman/toys/action-figures,10,10,0
senz/appliances/cooker-hoods,0,0,54
southmarine/home-improvement/water-pumps,0,0,22
cluse/watches/women,10,10,3
york/computing/hardware,0,0,2
martin/hobbies/musical-instruments/guitars,320,400,27
bs-bee-sister/watches,0,0,662
cooskin/bags/schools,0,0,2
3w-clinic/skin-care/face/serums,0,0,1
marvel/bags,40,100,36
versace/shoes/sports,10,10,13
mannol/car-accessories/lubricants,0,0,232
cosrx/skin-care/face/moisturizers,0,40,2
ad-steel/watches/analogue,0,0,1
mckenzie/clothing,110,170,22
vinnfier/audio-hi-fi/pc-audio/21-speaker-systems,0,140,15
apple/imac,390,640,420
akribos-xxiv/watches/analogue,0,0,2
usana/supplements,320,460,177
gucci/clothing/men/jackets,70,80,27
xiaomi/clothing/sunglasses,70,70,8
off-white/shoes,2900,3520,200
dior/skin-care/face/sun-protection,0,0,7
apc/clothing/dresses,0,0,1
hugo-boss/clothing/jackets,110,140,89
elianto/skin-care/face/toners,0,0,6
gucci/clothing/jackets,390,500,62
bubbles/feeding/bottle/sterilizers,0,0,8
macallan/groceries/alcohol,10,10,601
elisabetta-franchi-la-mia-bambina/clothing,0,0,2
asotv/kitchen-dining/storage/dish-racks,0,0,1
usana/supplements/vitamins,0,140,85
citrex/supplements/vitamins/vitamin-c,0,0,38
tommy-hilfiger/bags/wallets,590,590,284
