url,googleSearchVolume,totalSearchVolume,session
western-digital/my-passport/computing/external-storage,10,150,0
molton-brown/perfume,10,10,3
nike/clothing/women/sportswear/track-pants,20,20,0
zeblaze/men,0,0,0
hoco/toys,0,0,1
nyx/makeup/women/eyes/eyeliners,0,0,0
tommy-hilfiger/watches/men,90,90,4
xiaomi/mi/lighting/lighting-bulbs/led,0,0,0
moncler/shoes/women/sneakers,0,0,1
save-my-bag/bags/women,0,0,0
balenciaga/clothing/hoodies-and-sweatshirts,0,0,15
thinch/lighting/outdoor-lighting/spot-lights,0,0,0
jane-iredale/purelash/makeup,0,0,0
something-borrowed/clothing/formal-wear,0,0,0
toseek/action-sports/bicycles,0,0,24
zalia/clothing/women/hijabs/shawls,0,0,0
mooer/hobbies/musical-instruments/guitars,0,0,0
shein/eyecare,0,0,0
ipv/gadgets/vapes/mods,0,210,7
aolvo/home-improvement/tools,0,0,0
magideal/baby-clothing,0,0,0
belvita/home-improvement/tools/watch-repair-kits,0,0,1
9wishes/skin-care/face,0,0,0
moogoo/skin-care/face/moisturizers,0,0,0
sooryehan/makeup/women,0,0,0
guinot/makeup,0,0,0
sam-edelman/shoes/women/sandals,0,0,0
ssf/bedroom/beds,0,0,1
alice-olivia/clothing/women/skirts/maxi,0,0,0
moroccanoil/bath-body,0,0,0
strepsils/supplements,0,0,1
gator/hobbies,0,0,1
karen-millen/clothing/women/pants,0,0,0
niceeshop/stationery/writing-utensils,0,0,0
vera-bradley/bags/handbags/tote,10,10,2
apieu/makeup/accessories,0,0,0
moshi/computing/accessories,0,0,0
supreme/bags/handbags/pouches,50,50,0
nippon-paint/car-care,0,10,30
thermal-grizzly/groceries,0,0,0
mosca/clothing/men/shirts,0,0,0
romwe/shoes/boots,0,0,0
wacko-maria/clothing,10,40,1
asotv/housekeeping/floor-care/mops,0,0,0
msgm/clothing/skirts/pleated,0,0,0
tarte/makeup/accessories/brushes,20,40,1
olay/skin-care/face/whitening,0,0,17
belvita/stationery/writing-utensils/correction/erasers,0,0,8
public-desire/shoes/women/boots,0,0,0
geb/women,0,0,0
yinuo/bags/laptop,0,0,7
babybio/groceries/food-cupboard/cereals,0,0,0
msgm/clothing/sportswear/track-pants,0,0,0
tibi/clothing/women/pants/trousers,0,0,0
proton/satria-r3,110,110,22
rondaful/phones-tablets/smartwatches/fitness-wristbands,0,0,0
stella-mccartney/clothing/women/swimwear/swimsuits,0,0,0
giuseppe-zanotti/clothing/men,0,0,0
yongnuo/clothing,0,0,2
baellerry/women,0,0,1
msgm/clothing/swimwear/swimsuits,0,0,0
vococal/home-decor/decorative-pillows,0,0,0
ray-ban/clothing/men/sunglasses,110,120,4
romwe/jewellery/hair/headbands,0,0,0
michael-kors/jewellery/women,0,0,1
jane-iredale/zap-hide/makeup,0,0,0
zaful/clothing/jackets,10,10,1
balenciaga/clothing/men/underwear/socks,0,0,0
msgm/clothing/tops,0,10,1
volkswagen/in-car-entertainment,10,10,0
volkswagen/car-accessories/lubricants,0,0,16
acer/emachines/computing/accessories/chargers,0,0,1
lulugift/bags/women/sling,0,0,2
jayjun/groceries,0,0,1
adidas/clothing/women/sportswear/track-jackets,10,10,3
birkenstock/florida/shoes/sandals,10,10,0
msgm/clothing/women/sportswear/track-pants,0,0,0
wster/hobbies/musical-instruments,0,0,1
zhulian/jewellery/bracelets,20,20,14
becca/jaclyn-hill-collection/makeup/face/powders,0,0,0
cooler-master/stationery/card-holders,0,0,0
dsquared2/clothing/men/underwear/boxers,0,0,0
bolehdeals/kitchen-dining/bakeware/baking-accessories,0,0,1
msgm/shoes/women/sneakers,0,0,0
etonweag/bags/men/handbags/clutches,0,0,0
beverly-hills-polo-club/bags/travel/luggage,0,0,41
dr-forhair/hair-care/treatments/serums,0,0,0
fisher-price/jewellery/earrings,0,0,0
sokano/bags/backpacks,0,0,0
breguet/men,0,0,0
mulberry/jewellery,0,0,0
sanda/watches/digital,10,10,0
boboiboy/stationery/pencil-boxes,0,0,19
hada-labo/makeup/removers,0,0,0
fitflop/shoes/women/sneakers,0,0,0
the-history-of-whoo/makeup/women,0,0,0
anugerah/makeup,0,0,0
brioni/clothing/men/ties-bowties,0,0,0
munich/shoes/men/sneakers/low-cut,0,0,0
halo/clothing/women/skirts/midi,0,0,0
nars/makeup/women/eyes,0,0,0
toys/women/dolls/dress-up/costumes,0,0,0
pintoo/toys,0,0,0
baborry/bags,0,10,1
caran-dache/stationery/writing-utensils/pencils/mechanical,10,10,0
my-beauty-diary/skin-care,0,10,1
davidoff/groceries/food-cupboard/cooking-ingredients,0,0,0
vococal/outdoor-garden/grills,0,0,0
uniqtee/clothing/shirts,0,0,0
swanicoco/skin-care/face/serums,0,0,0
bear/bags/sling,10,10,2
carmex/makeup/lips/lipbalm,0,0,1
nan-ji-ren/clothing/formal-wear,0,0,0
mansur-gavriel/bags/women/bucket-bags,0,0,0
jacob/groceries/alcohol/red-wines,0,0,31
voila/clothing/tops/blouse,0,0,0
beautee/skin-care/face/serums,0,0,0
bioglo/hair-care,0,0,1
casadei/shoes/boots,10,10,0
naning9/women,0,0,1
mansur-gavriel/clothing/tops,0,0,0
ladykin/skin-care/face,0,0,13
yves-saint-laurent/clothing/women/skirts,0,0,0
vans/era/shoes/loafers,0,0,1
zimmermann/clothing/women/pants,0,0,0
cellglo/bath-body,0,0,2
napapijri/clothing/hoodies-and-sweatshirts,0,0,0
mansur-gavriel/clothing/women/tops,0,0,0
burberry/check/kids-clothing,0,0,1
versace/eros/perfume/eau-de-cologne,0,0,2
zimmermann/jewellery/women,0,0,0
christian-louboutin/shoes/men/sports,0,0,0
narciso-rodriguez/clothing/women,0,0,0
national-geographic/bags/laptop,10,10,0
remax/kitchen-dining/storage,0,0,0
vonda/clothing/polo-shirts,0,0,0
kwailnara/hair-care/colouring,0,0,0
bossman/outdoor-garden/lawn/gardening-tools,0,0,3
emile-henry/kitchen-dining/bakeware,0,0,0
natural-pacific/skin-care/face/serums,0,0,0
medela/feeding/breastfeeding/breast-pads,10,10,0
loccitane/hair-care/treatments,0,0,0
vonda/clothing/tops,0,0,0
liu-jo/clothing/women/pants/trousers,0,0,0
caudalie/skin-care/face/cleansers,0,10,12
ermenegildo-zegna/clothing/sweatshirts,0,0,0
nature-republic/makeup/accessories,0,0,0
mijobs/watches,0,0,0
scotch-soda/clothing/women/jackets,0,0,0
wandler/shoes/high-heels,0,0,0
miracle-shining/tv-video-dvd/streaming-media-players,0,0,0
certina/ds-prime,10,10,6
everest/groceries/food-cupboard/spices,0,0,3
natures-bounty/medical-supplies,0,0,1
thierry-mugler/perfume/men,20,20,2
scotch-soda/clothing/men/shorts/bermudas,0,0,0
xiaomi/tv-video-dvd/accessories,0,0,1
anteprima/bags/women/handbags/tote,0,0,0
christofle/kitchen-dining/tableware/cutlery,0,0,2
fimax/computing,0,0,0
natures-protection/pets-supplies,0,160,1
secret-nature/makeup,0,0,0
yealon/shoes/sports/badminton,10,10,11
bonlife/groceries/drinks/fresh-milks,0,0,1
carlo-rino/shoes/sneakers,30,30,9
bella/clothing/women/sweaters,0,0,0
cotton-on/clothing/women/skirts,0,0,1
fiorangelo/shoes/pumps,0,0,0
natures-way/health/skin-care/oils,0,0,0
secret-nature/skin-care,0,0,0
attack/groceries/food-cupboard,0,0,1
oxford-fajar/clothing/men/hats/caps,0,0,1
escada/clothing/women/formal-wear/blazers,0,0,0
dentiste/dental-care,0,0,5
fossil/jewellery/women,0,20,0
neewer/camera-photo,0,10,0
3d/home-decor,0,1360,1
beko/appliances/irons,10,20,15
aukey/home-decor/wall-art,0,0,0
scandinavian-furniture-outlet/bedroom/tables/bedside,0,0,1
adidas/original/clothing/t-shirts/long-sleeves,0,0,0
devon/home-improvement/tools/drills,0,0,8
freeman/groceries/food-cupboard/cooking-ingredients,0,0,1
niceeshop/adventure/fishing,0,0,0
davidoff/perfume/men,20,20,0
blackberry/phones-tablets/smartphones,70,4240,79
bluesky/kitchen-dining/tableware/drinkware,0,0,0
v-moda/forza/audio-hi-fi,0,30,0
carven/shoes/boots,0,0,0
doterra/food-supplements,0,0,8
giorgio-armani/bags,50,50,2
niceeshop/computing,0,0,0
spectra/feeding/accessories/cups,0,0,0
bonia/monogram/bags/sling/shoulder,0,0,4
nr-cosmetics/makeup/eyes/eyeshadows,0,0,0
drift/clothing/t-shirts,10,10,0
givenchy/jewellery/women/necklaces,0,0,1
niceeshop/makeup,0,0,0
dettol/groceries/food-cupboard,0,0,0
pierre-balmain/clothing/women/sweaters,0,0,0
blaupunkt/computing/accessories,0,0,2
niso/stationery/calculators,0,0,1
elizabeth-arden/makeup/lips/lipsticks,50,50,3
golden-goose/shoes/women/sneakers,10,10,0
niceeshop/security,0,0,0
dettol/housekeeping/garment-care,0,0,0
pigeon/health/women,0,0,0
brixton/women,0,0,0
ego-qv/bath-body,0,0,0
fanco/e-series/appliances/fans,0,0,3
gucci/embroidered/clothing/pants,0,0,0
nichii/clothing/tops/blouse,20,20,0
eco/kitchen-dining/tableware,0,10,0
something-borrowed/clothing/shorts/denim,0,0,0
cerruti-1881/clothing/formal-wear/pants,0,0,0
river-island/jewellery/women/earrings,0,0,0
gucci/gg/clothing/cardigans,0,0,1
nichii/clothing/women/tops/blouse,0,0,0
halo/clothing/dresses,10,10,0
supermicro/computing/external-storage/hdd,0,0,2
chantelle/clothing/underwear/panties,10,10,1
shein/clothing/swimwear/shorts,0,0,0
gucci/kids-clothing/dresses,10,10,0
nichii/women,0,0,1
halo/clothing/women,0,0,0
edox/watches/analogue,0,0,0
chiara-ferragni/shoes/sandals,0,0,0
river-island/clothing/women/skirts/mini,0,0,0
hello-kitty/makeup,70,100,7
hoco/computing/accessories,0,0,1
nick-fouquet/men,0,0,1
lab-series/skin-care,0,0,1
fos/toys,0,0,0
dr-jart/women,0,0,0
babylove/bedroom/beds/mattresses,0,0,0
hp/computing/accessories/keyboards/mechanicals,30,30,1
hotlink/phones-tablets,0,0,2
nike/air-huarache/shoes/sports/tennis,0,0,0
mansur-gavriel/bags/women/handbags/tote,0,0,0
fujiaire/skin-series-skyx/appliances,0,0,0
eyoyo/camera-photo/cctv,0,0,0
shein/clothing/women/dresses/denims,0,0,0
in2it/makeup/lips,0,720,4
jockey/women,20,20,2
nike/air-waffle,10,10,2
mac/amplified/makeup,0,0,0
jergens/skin-care/face/moisturizers,0,0,0
kai/hair-care/styling/combs,0,0,0
shein/bags/women/wallets,0,0,0
jewellery/women/organizers,0,0,0
joseph/clothing/women/sweaters/turtlenecks,0,0,0
nike/air/shoes/sports/training,10,10,0
max/clothing/skirts/midi,0,0,0
kobwa/car-accessories/phone-holder,0,0,0
kent-curwen/clothing/pants/chino,0,0,1
shein/clothing/women/underwear/socks,0,0,0
jonbag/bags/handbags,0,0,5
kappa/clothing/shorts,10,10,0
nike/clothing/women/sportswear/shorts,10,10,0
nuveau/watches/women/analogue,0,0,0
evans/housekeeping,0,0,0
lomography/camera-photo,0,0,0
maytag/appliances/irons,0,0,1
shein/clothing/women/sleepwear/nightgowns,0,0,0
kamdar/clothing/traditional,0,20,0
kate-spade-new-york/bags/travel,0,0,0
nike/explorer/shoes,0,0,0
ome/audio-hi-fi,0,0,0
oxford-fajar/clothing/women/hats/caps,0,0,0
magideal/medical-supplies/injury-support/knee,0,0,0
neil-barrett/clothing/men/jeans/slim-fit,0,0,0
naturehike/kitchen-dining,0,0,2
kenwood/appliances/juicers,30,90,3
lacoste/clothing/women/polo-shirts,10,10,0
nike/vapor/shoes/sneakers,10,10,1
ralph-lauren/perfume/men/eau-de-parfum,0,0,1
polk-audio/audio-hi-fi/speakers,10,10,2
miracle-shining/adventure/fishing,0,0,0
tory-burch/clothing/women/underwear,0,0,1
infinitus/medical-supplies/blood-glucose/medications,0,0,0
la-girl/makeup/face,0,160,0
lucuna/clothing/skirts/midi,0,0,0
nine-west/watches/women/analogue,0,0,0
sol-republic/jax/audio-hi-fi,0,0,0
taylor/clothing/sunglasses,0,0,1
ome/baby-clothing/undershirt,0,0,0
travo/bags,0,0,0
opening-ceremony/women,0,0,0
magideal/home-improvement/water-pumps,0,0,0
nitecore/adventure/camping/other-equipment,0,0,0
solar-light/lighting/outdoor-lighting/spot-lights,0,0,2
unisa/shoes/women,0,0,0
ome/jewellery/earrings,0,0,1
womdee/camera-photo/accessories,0,0,0
opening-ceremony/clothing/women/sweaters,0,0,0
linksys/computing/network-gear/switches-hubs,0,0,3
magideal/outdoor-garden,0,0,0
north-edge/men,0,0,0
stella-mccartney/clothing/men/sweatshirts,0,0,0
versace/jewellery/hair/headbands,10,10,0
paul-smith/clothing/men/jeans,0,0,0
zzooi/toys/dolls/teddy-bears,0,0,0
forever-young/clothing/women/pants/jogger,0,0,0
loctite/stationery/adhesives/glue,140,140,10
magneti-marelli/car-accessories,0,0,1
nr-cosmetics/makeup/face/primers,0,0,0
timberland/eyecare,0,10,0
blauer/clothing/men/sweaters,0,0,0
pevonia-botanica/skin-care/eyes/creams,0,0,0
meyer/men,0,0,0
gc/clothing/sweatshirts,0,0,0
lohas/groceries/food-cupboard/jams,0,0,2
manuka-doctor/skin-care,0,0,0
nuby/health/baby-care/teethers,0,0,1
zalia/clothing/shirts,0,0,0
bolehdeals/kitchen-dining/bar-stools,0,0,0
septwolves/bags/wallets/card-holders,0,0,0
kamdar/clothing/traditional/kurtas,0,0,0
grado/professional/audio-hi-fi/headphones/on-ear,0,0,0
maje/clothing/dresses/mini-dresses,0,0,0
marcus-marcus/feeding/accessories,0,0,0
obey/clothing/men/pants,0,0,0
crumpler/camera-photo/accessories,0,70,1
borsalino/clothing/men/hats/fedora,0,0,0
womdee/home-decor,0,0,0
indikah/clothing/women/jumpsuits,0,0,2
gucci/gg/bags/handbags/tote/canvas,0,0,0
mentee/shoes/sports/hiking,0,0,18
mckenzie/clothing/men/sweatshirts,0,0,0
oblique-creations/clothing/women/dresses,0,0,0
jansport/bags/wallets,10,10,0
charriol/watches/men/analogue,0,0,0
wrangler/clothing/men/shorts,0,0,0
pazzion/shoes/women/pumps,0,0,0
hermes/clothing/jackets,0,0,0
nature-republic/skin-care/face/moisturizers,0,10,2
missha/super-aqua/skin-care/face/day-creams,0,10,1
okaya/makeup/accessories,0,0,0
magideal/feeding/baby-seats/highchairs,0,0,0
chopard/eyecare,0,10,0
zanzea/clothing/sweaters,0,0,1
blanc-eclare/clothing/women,0,0,0
hogan/shoes/women/loafers,0,0,0
neutrogena/skin-care/face/sun-protection,40,40,10
my-scheming/skin-care/women/face,0,0,1
oliver-peoples/eyecare/men/glasses,0,0,0
oxford-fajar/kitchen-dining/tea-filters,0,0,0
ecco/shoes/loafers,10,10,1
superdry/clothing/women/pants,0,0,0
burberry/baby-clothing/women/tops,0,0,0
invicta/clothing/women,0,0,0
nike/mercurial/shoes/sports/running,10,10,0
nars-cosmetics/makeup/face/powders/loose,0,0,0
omax/watches/analogue,0,0,0
pomelo/clothing/women/skirts/mini,0,0,0
edwin/clothing/pants,10,10,0
omorose-cosmetics/makeup,0,0,0
lotus/clothing/women/pants,0,0,0
jil-sander/shoes/sneakers/low-cut,0,0,0
natio/skin-care/face,0,0,0
ome/bags/sling/shoulder,0,0,0
rebecca-minkoff/bags/women/wallets,0,0,0
fab/clothing/cardigans,0,0,0
americolor/groceries,0,0,0
thinch/bags/wallets,0,0,0
jolie-by-edward-spiers/shoes/women/pumps,0,0,0
off-white/clothing/women/belts,0,0,0
neil-barrett/clothing/men/t-shirts,0,0,1
ome/clothing/dresses,0,0,0
anna-sui/bath-body/mists,0,0,0
furniturerun/hallway-entry,0,0,1
innisfree/skin-care/women/hand/nails/accessories,0,0,0
usa-pro/kids-clothing,0,0,0
joshua-sanders/shoes/men,0,0,0
neil-barrett/clothing/women/shirts,0,0,0
oriflame/skin-care,10,10,2
burts-bees/makeup/women,0,0,0
giorgia-johns/clothing/women/tops,0,0,0
reebok/clothing/women/tops/tank,0,0,0
versace/bags/men/briefcases,0,0,0
kai/bags/sling/messenger,0,0,0
pixi/glow-tonic,4400,4440,0
one-stop-marine/tv-video-dvd/accessories/remotes,0,0,1
osvaldo-rossi/women,0,0,0
armani/emporio/watches/luxury,0,0,0
givenchy/shoes/men/flip-flops,0,0,0
cantarelli/clothing/pants,0,0,0
young-living/toys,0,0,0
kai/bags/wallets,0,0,0
playboy/bags/men/handbags/clutches,0,0,1
orkina/watches/analogue,0,0,2
otwoo/makeup/eyes/eyeliners,0,0,0
balmain/clothing/coats/trench,0,0,0
gucci/jewellery/men/bracelets,70,70,2
defacto/clothing/tops/blouse,0,0,0
comme-des-garcons/bags/women/purses,0,0,0
kemstone/jewellery/anklet,0,0,0
prestar/home-improvement,0,0,0
pacsafe/bags/sling/shoulder,10,10,1
paco-rabanne/clothing/women/coats,0,0,0
illamasqua/makeup/lips/pencils,0,0,0
gucci/kids-clothing/shorts,0,0,0
armani/giorgio/clothing/pants/trousers,0,0,0
mulberry/shoes/women,0,0,0
laneige/skin-care/women/eyes/creams,0,0,0
paul-smith/clothing/men/underwear,0,0,0
paco-rabanne/jewellery/women,0,0,0
michelin/car-care,0,0,1
hada-labo/skin-care/eyes,0,0,0
hasbro/toys/men/action-figures,0,0,0
hercules/adventure/fishing/lines,0,0,1
maison-margiela/clothing/women/tops/tank,0,0,0
petal-fresh/hair-care/shampoos,0,0,1
pacolino/men,0,0,1
neogen/skin-care/face/scrubs,0,0,0
hello-kitty/kitchen-dining,10,70,0
versace/clothing/men/cardigans,0,0,0
jvgood/home-improvement,0,0,1
maison-margiela/shoes/men/sports/training,0,0,0
safi/skin-care/face,0,0,2
philipp-plein/clothing/women/jackets/bombers,0,0,1
padieoe/bags/handbags,0,0,1
star/stationery/adhesives/tapes,10,10,1
hp/computing/office-supplies,0,590,1
gianfranco-lattanzi/shoes/women/boots,0,0,0
issey-miyake/perfume/women/eau-de-toilette,0,0,1
marc-jacobs/clothing/pants/leggings,0,0,0
samsung/series-6/tv-video-dvd,40,50,8
comme-des-garcons/shoes/men,0,0,0
palm-angels/phones-tablets/accessories/cases-covers,0,0,1
xtep/clothing,0,0,0
huawei/men,0,0,0
kenzo/shoes/men/sneakers,0,0,0
laura-ashley/women,0,0,0
maxim/gaming,0,0,0
seven-seas/food-supplements,0,0,2
converse/chuck-70/shoes/sports/running,0,0,0
patagonia/clothing/shirts,90,90,0
star/toys/women/dolls/dress-up,0,0,0
invicta/pro-diver,140,160,0
maje/clothing/women/formal-wear,0,0,0
sylvanian-families/groceries/food-cupboard,0,0,0
oxford-fajar/camera-photo/accessories/tripods,0,0,0
deus-ex-machina/clothing/men,0,0,0
paul-joe/clothing/sweaters,0,0,0
snake-brand/bath-body/shower,0,0,0
kappa/clothing/men/sportswear/track-pants,10,10,0
moschino/clothing/women/coats,0,0,0
dr-wu/skin-care/face/masks,0,0,1
oxford-fajar/car-accessories,0,0,0
super90/car-accessories,0,0,3
love-bonito/clothing/women/pants/leggings,0,0,0
paul-mitchell/hair-care/styling,0,10,0
idrop/kitchen-dining/cookware/cutting-boards,0,0,1
keddo/shoes/kids-and-baby,0,0,1
ubest/audio-hi-fi/headphones,0,0,0
zzooi/bedroom,0,0,0
oxford-fajar/gifts/frames,0,0,0
some-by-mi/skin-care,0,0,42
mamonde/makeup/women/lips,0,0,0
paulas-choice/skin-care,0,0,2
idrop/bedroom/beds,0,0,0
kikilala/baby-clothing/pyjama-sets,0,0,0
paul-frank/clothing/men/t-shirts,0,0,0
anytek/phones-tablets/accessories/cases-covers,0,0,0
paco-rabanne/bags/handbags/tote,0,0,0
paul-hewitt/watches/analogue,0,0,0
pearl-drops/dental-care,0,0,0
idrop/phones-tablets/accessories,0,0,0
kingston/computing/external-storage/memory-cards,0,0,1
gloink/computing/accessories/ink-cartridges,0,0,1
lee-cooper/clothing/men/shirts,0,0,0
paul-smith/clothing/women/cardigans,0,0,0
tora/bathroom,0,0,23
romwe/bedroom,0,0,0
pendrive/computing,10,70,1
idrop/kitchen-dining/storage,0,0,0
kiss-me/jewellery,0,0,0
kent-curwen/clothing/pants,0,0,0
omega/watches/men/sports,0,0,0
philosophy/clothing/women/sweaters,0,0,0
versace/bags/men/handbags/clutches,50,50,17
womdee/kitchen-dining,0,0,0
pensonic/stationery/writing-utensils,0,0,0
idrop/toys,0,0,0
lacoste/watches/chronograph,0,0,0
maje/clothing/women/tops/blouse,0,0,0
porstina/clothing/women/pants/plus-size,0,0,0
roberto-botticelli/shoes/pumps,0,0,0
adidas/clothing/sportswear/bras,320,320,14
karl-lagerfeld/clothing/men/sweaters,0,0,0
pepsi/groceries,0,0,1
idrop/bath-body,0,0,0
laura-bellariva/shoes,0,0,0
neil-barrett/clothing/men/pants/sweatpants,0,0,0
qq/kitchen-dining/storage/dish-racks,0,0,2
romwe/clothing/women/sportswear/shorts,0,0,0
bolehdeals/home-decor/other-decorations/artificial-plants,0,0,0
perfume-heaven/men,0,0,0
new-era/clothing/men/hats,0,10,0
lenox/kitchen-dining/tableware,10,10,1
roberto-della-croce/shoes,0,0,0
shein/bathroom/women,0,0,2
singer/appliances/sandwich-makers,0,0,1
brembo/car-accessories,0,0,44
carlo-pignatelli/clothing/formal-wear,0,0,0
perfumes/bath-body,0,90,0
21st-century/groceries,0,0,0
loewe/clothing/coats/trench,0,0,1
schott/clothing/men/jackets,0,0,0
prada/clothing/women/dresses/print,0,0,0
sixplus/makeup/women,0,0,0
charriol/watches,30,50,28
victoria-beckham/clothing/women,0,0,0
peripera/appliances/refrigerators,0,0,0
cellnique/vital,0,0,0
love-moschino/clothing/women/coats,0,0,0
pensonic/chefs-like/appliances,0,0,0
stella-mccartney/baby-clothing/hoodies,0,0,0
stuart-weitzman/shoes/women/loafers,0,0,0
dita-eyewear/clothing/sunglasses,0,0,73
lansinoh/toys,0,0,0
philipp-plein/clothing/men/sweatshirts,0,0,0
pinko/clothing/women/shorts/bermudas,0,0,0
magideal/bags/handbags,0,0,0
prada/clothing/women/dresses/mini-dresses,0,0,0
leegoal/gym/equipments,0,0,0
teekeer/bags/travel,0,0,0
magideal/kitchen-dining/tableware/drinkware/tumblers,0,0,0
philipp-plein/clothing/women/formal-wear/blazers,0,0,0
bella/bags/accessories,0,0,0
mansur-gavriel/bags/handbags/tote,10,10,0
saideng/toys,0,0,0
marcelo-burlon/clothing/women/underwear,0,0,0
nuby/health,0,0,0
richell/feeding/baby-foods,0,0,1
philips-avent/breast/feeding/breastfeeding/breast-pads,0,0,0
hyundai/computing/external-storage/ssd,0,0,0
merrick/pets-supplies/dogs,0,90,2
talea-drain/kitchen-dining/storage/dish-racks,0,0,0
elizabeth-arden/bath-body/shower/gels,0,0,0
kitkat/groceries/food-cupboard,0,390,0
love-earth/supplements/chia-seeds,0,0,14
abbott/groceries/drinks/tea,0,0,0
philips/skin-care,0,30,0
velvet/makeup/lips,0,0,0
mf-design/kitchen-dining,0,0,0
the-executive/clothing/women/tops,0,0,0
clinique/bath-body/men,0,0,0
klavuu/makeup/face/cushions,0,0,2
curren/kitchen-dining,0,0,0
philips/sonicare-elite-plus/dental-care/toothbrushes/electric,0,0,0
givenchy/clothing/sportswear/shorts,0,0,0
monroll/clothing/tops,0,0,1
trussardi/shoes/men,0,0,0
qq/appliances,0,0,0
klavuu/makeup/face/foundations,0,0,0
himalaya/groceries/food-cupboard/cooking-ingredients,0,0,0
pierre-cardin/clothing/sportswear,20,20,0
kenzo/clothing/swimwear,0,0,0
obey/clothing/t-shirts,70,70,0
diniwell/makeup,0,0,0
hush-puppies/clothing/women/sleepwear/nightgowns,0,0,0
kleenso/home-improvement,0,0,1
zalia/clothing/cardigans,0,0,0
pigeon/feeding/breastfeeding,0,730,0
vetements/clothing/sportswear/track-pants,0,0,0
original-penguin/clothing/t-shirts,10,10,4
kenzo/clothing/women/dresses,0,0,0
halo/clothing/swimwear/swimsuits,0,0,0
kodz/clothing/women,0,0,0
alice-olivia/clothing/dresses/mini-dresses,0,0,1
odm/clothing/women,0,0,0
pigeon/feeding/breastfeeding/breast-pumps/manual,0,0,1
electronic-arts/dragon-age-inquisition,0,0,0
palm-angels/shoes/men/sneakers/low-cut,0,0,0
bella/action-sports,0,0,0
greens/pets-supplies/dogs/accessories,0,0,0
korres/skin-care/face,0,0,0
ankou/feeding/bottle/formula-dispensers,0,0,2
steelseries/men,0,0,0
pinko/clothing/women/formal-wear,0,0,0
electronic-arts/battlefield-4/computing,0,0,0
pazzion/shoes/women/flats,0,0,2
kobwa/home-decor/other-decorations,0,0,0
blackwood/pets-supplies/dogs/accessories,0,0,0
la-roche-posay/bath-body/lotions/sun-protection,0,0,0
aveeno/skin-care/women,0,0,0
chloe/shoes/women/flats,0,0,0
pinko/clothing/women/sweaters/turtlenecks,0,0,0
kaspersky-lab/anti-virus/computing/software/antivirus,0,0,0
pinko/clothing/sweaters,0,0,1
lampe-berger/perfume/eau-de-cologne,0,0,1
ocean-nutrition/pets-supplies/dogs/accessories,0,0,0
label-young/hair-care/treatments,0,0,0
baby-clothing/women/blouses,0,0,0
rick-owens/clothing/men/underwear/socks,0,0,0
pixi/h2o,0,50,0
brunello-cucinelli/clothing/belts,0,0,0
proenza-schouler/jewellery,0,0,0
mango/clothing/men/shorts/bermudas,0,0,0
nurish-organiq/skin-care/face/cleansers,0,0,0
lamborghini/watches/chronograph,0,0,1
bags/women/sling/shoulder,480,480,0
rick-owens/clothing/women/scarves,0,0,0
play-boy/clothing/pants/chino,0,0,0
pantofola-doro/shoes/sneakers,0,0,0
purederm/skin-care/face,0,10,0
aurora/clothing/dresses/laces,0,0,0
electronic-arts/battlefield-3/gaming/games/pcs,0,0,0
calvin-klein/jewellery,30,60,59
lameila/makeup/accessories/sponges,0,0,0
bags/women/wristlets,10,10,0
chloe/clothing/women/dresses/mini-dresses,0,0,0
play-boy/shoes/sports/running,0,0,0
missoni/clothing/men/underwear,0,0,0
qq/lighting/outdoor-lighting,0,0,0
maison-margiela/clothing/women/formal-wear/blazers,0,0,0
epoch/clothing/shirts,0,0,0
lancome/renergie-multi-lift/skin-care/face,0,20,0
ball/watches/men,10,10,0
asus/rog/computing/network-gear/wifi-routers,0,0,0
polo-jeans-company/clothing,0,0,1
missoni/clothing/men/sweaters,0,0,0
qware/kitchen-dining/cookware/pans,0,0,1
maison-margiela/clothing/women/sweaters/turtlenecks,0,0,0
vakind/home-improvement/electrical/extension-sockets,0,0,0
lancome/rouge/makeup/lips/lipsticks,10,20,0
balmain/clothing/men/sportswear/track-pants,0,0,0
amgo/appliances/cooktops/electric-stoves,0,0,0
pomelo/clothing/women/jackets,0,0,0
tokyo-fashion/women,0,0,0
sanuk/shoes/sandals,30,30,0
lc-waikiki/clothing/tops/sleeveless,0,0,0
marchesa-notte/clothing/women,0,0,0
landrover/phones-tablets/power-banks,0,0,2
balmain/shoes/women/sandals,0,0,1
versace/clothing/women/dresses/mini-dresses,0,0,0
powermax/housekeeping/floor-care,0,0,1
miracle-shining/phones-tablets/accessories,0,0,0
sexylook/skin-care/women,0,0,0
creed/bath-body/men,0,0,0
moogoo/hair-care/shampoos,0,0,0
lanvin/women,10,10,0
barkthins/groceries/food-cupboard,0,0,0
victoria-beckham/shoes/women/pumps,0,0,0
prada/clothing/men/hats/caps,0,0,0
derma-e/skin-care/women/face,0,0,0
shein/clothing/tops/blouse,0,0,2
moncler/shoes/boots/leather,0,0,0
nandos/groceries/food-cupboard/cooking-ingredients,0,0,0
mers/medical-supplies/wheel-chairs,0,0,160
lavin/outdoor-garden/furniture,0,0,0
beaver/hair-care,0,10,0
msi/computing/men/accessories/mousepads,0,0,0
prada/clothing/men/shorts,0,0,0
nuby/home-improvement,0,0,0
shein/clothing/women/swimwear,0,0,0
heatwave/bags/sling/shoulder,0,0,0
hori/home-decor/wall-art/stickers,0,0,0
